iterations,Size_37(MVA),Size_38(MVA),Size_39(MVA),Size_40(MVA),SCR_30,SCR_36,SCR_32,SCR_34,Total Size(MVA),NPV(in millions)
64,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
65,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
66,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
67,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
68,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
69,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
70,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
71,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
72,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
73,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
74,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
75,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
76,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
77,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
78,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
79,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
80,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
81,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
82,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
83,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
84,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
85,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
86,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
87,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
88,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
